categorie_cavalier,type_osm,nom_lieu,latitude,longitude
Gentrification - Salle Sport,fitness_centre,Basic-Fit,50.6155978,3.0472255
Gentrification - Yoga,yoga,Studio Inspir,50.639934,3.0612199
Gentrification - Yoga,yoga,Les Yogis,50.6309314,3.0585756
Gentrification - Yoga,yoga,Atelier de Yoga,50.6303613,3.0571669
Gentrification - Crèche,childcare,Les Petits Chaperons Rouge,50.635701,3.0277174
Gentrification - Crèche,childcare,Magenta-Fombelle,50.6220141,3.0501484
Gentrification - Crèche,childcare,Halte-garderie Graines d'Acacias,50.6276585,3.1092108
Gentrification - Crèche,childcare,People & Baby,50.6387587,3.015684
Gentrification - Crèche,childcare,La compagnie des familles,50.6287387,3.0464631
Gentrification - Crèche,childcare,Kribbels,51.2707367,4.7869007
Gentrification - Crèche,childcare,Les Lutins,50.6305107,3.0514051
Gentrification - Crèche,childcare,rire et grandir,50.6328351,3.1141887
Gentrification - Crèche,childcare,micro baby,50.6092123,3.0435052
Gentrification - Crèche,childcare,'t Pimpeljoentje,51.2722074,4.8785886
Gentrification - Crèche,childcare,Grandir,50.6258827,3.0461861
Gentrification - Crèche,childcare,Oh! comme 3 pommes,50.6175808,3.073958
Gentrification - Crèche,childcare,'t Uiltje 2,51.2597789,4.7994344
Gentrification - Crèche,childcare,'t Uiltje 1,51.2604796,4.7955288
Gentrification - Crèche,childcare,Buitenschoolse kinderopvang Toverbol,51.2427671,4.8258657
Gentrification - Crèche,childcare,Buitenschoolse kinderopvang Min & Max,51.2676852,4.8624176
Gentrification - Crèche,childcare,Buitenschoolse kinderopvang De Mollies,51.227648,4.8349962
Gentrification - Crèche,childcare,Buitenschoolse kinderopvang Krakkebol,51.2662188,4.7833965
Gentrification - Épicerie Fine,deli,L'Estaminet Lillois,50.6386425,3.0575403
Gentrification - Épicerie Fine,deli,Le Petit Fermier,50.6470926,3.0580251
Gentrification - Épicerie Fine,deli,La Nature à du génie,50.6303919,3.0572536
Gentrification - Épicerie Fine,deli,Les Epicentriques,50.6265073,3.0478193
Gentrification - Épicerie Fine,deli,Merveille d'Asie,50.6267304,3.0483768
Gentrification - Épicerie Fine,deli,Épicerie Madame,50.6381022,3.0622095
Gentrification - Épicerie Fine,deli,Comtesse du Barry,50.6376537,3.0620842
Gentrification - Épicerie Fine,deli,La Belle-Iloise,50.6378689,3.0620221
Gentrification - Épicerie Fine,deli,Poggio,50.6288844,3.0614787
Gentrification - Épicerie Fine,deli,La chambre aux confitures,50.6375333,3.0626354
Gentrification - Épicerie Fine,deli,Oliviers & Co,50.6384678,3.0599804
Gentrification - Épicerie Fine,deli,La Bottega Mercato,50.6266884,3.0488853
Gentrification - Épicerie Fine,deli,Le Choix du roy,50.6403739,3.0608718
Gentrification - Épicerie Fine,deli,La tapasta,50.6266667,3.04902
Gentrification - Épicerie Fine,deli,Comptoirs de l'Est,50.6314006,3.0591933
Gentrification - Épicerie Fine,deli,Bruno é Sofia,50.6406233,3.0658173
Gentrification - Épicerie Fine,deli,Le Comptoir de Calliope,50.6396108,3.0125345
Gentrification - Épicerie Fine,deli,My Love,50.6275371,3.057965
Gentrification - Épicerie Fine,deli,La Bottega,50.641462,3.0619352
Gentrification - Épicerie Fine,deli,Casa Tatti,50.6428434,3.0102219
Gentrification - Épicerie Fine,deli,Petit Fermier,50.6388127,3.0588435
Gentrification - Épicerie Fine,deli,Famille Mary,50.6387241,3.0623796
Gentrification - Épicerie Fine,deli,Cugino,50.6349707,3.0634945
Gentrification - Épicerie Fine,deli,Le Comptoir du Miel,50.6382484,3.0631689
Gentrification - Épicerie Fine,deli,Régaléo,50.6398399,3.0579304
Gentrification - Épicerie Fine,deli,Détail,50.6398542,3.056118
Gentrification - Torréfacteur,coffee,Méo,50.6401094,3.0189214
Gentrification - Torréfacteur,coffee,Café Méo 7,50.6364208,3.0632792
Gentrification - Torréfacteur,coffee,Chido Café,50.6295203,3.0587248
