Lieu,Prix,Details,Lien,DerniereVue,Lat,Lon
Lille (Nord),1 075 CHF/mois,71 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Ab3adp5ac8wsue63,2026-09-25,,
Lille (Nord),1 113 CHF/mois,76 m² - 3 pièces - 2 chambres,https://www.vizzit.fr/fr/property/appartement/lille/Ajh8j6z1ya9wcqdr,2026-09-25,,
Lille (Nord),849 CHF/mois,32 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/A3hfljd9c7klbnkj,2026-09-25,,
Lille (Nord),839 CHF/mois,46 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Ar16af2n69b41bw0,2026-09-25,50.63957,3.0808
Lille (Nord),803 CHF/mois,43 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aaesrk9fvlowqnml,2026-09-25,,
Lille (Nord),651 CHF/mois,62 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A8n13yfql8qrz3h8,2026-09-25,50.6315,3.09374
Lille (Nord),816 CHF/mois,51 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Aohkwxnrq6y96cb2,2026-09-25,,
Lille (Nord),932 CHF/mois,50 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/A85jeqdejeq600nh,2026-09-25,50.63596232110219,3.062127916952925
Lille (Nord),617 CHF/mois,41 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Akvi62nub0jyh8ya,2026-09-25,50.64336,3.05719
Lille (Nord),745 CHF/mois,48 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Ag01qh4tce9iivpc,2026-09-25,50.621667,3.052581
Lille (Nord),830 CHF/mois,59 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/Abauj29691tg5r63,2026-09-25,50.63583,3.03092
Lille (Nord),707 CHF/mois,41 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Abqmo4278zw1zbb6,2026-09-25,,
Lille (Nord),462 CHF/mois,15 m²,https://www.vizzit.fr/fr/property/appartement/lille/Achh3bl53n1v1jcr,2026-09-25,50.63231,3.08863
Lille (Nord),839 CHF/mois,43 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ak5jt6otsb4suax3,2026-09-25,50.633,3.088
Lille (Nord),490 CHF/mois,14 m² - Studio,https://www.vizzit.fr/fr/property/appartement/lille/Ancsph4021zfczdu,2026-09-25,50.62,3.06
Lille (Nord),276 CHF/mois,290 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Av8kfuz7yl6ynwv8,2026-09-25,,
Lille (Nord),118 CHF/mois,240 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Akr70miy31l20e51,2026-09-25,,
Lille (Nord),127 CHF/mois,1 113 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Aqmkhtnr2uqep4kh,2026-09-25,,
Lille (Nord),160 CHF/mois,2 357 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Abwx0biqwb6en5ts,2026-09-25,,
Lille (Nord),245 CHF/mois,1 043 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Aft3l1ihl2s6hfe5,2026-09-25,,
Lille (Nord),207 CHF/mois,225 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Agpfi09ps841p4ml,2026-09-25,,
Lille (Nord),174 CHF/mois,293 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Aszl5sg3cazox77t,2026-09-25,,
Lille (Nord),146 CHF/mois,2 654 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Asqqenub50q3wgmr,2026-09-25,,
Lille (Nord),165 CHF/mois,126 m²,https://www.vizzit.fr/fr/property/immobilier/lille/A2awcnaaaptwws93,2026-09-25,,
Lille (Nord),151 CHF/mois,,https://www.vizzit.fr/fr/property/immobilier/lille/A66zjsctav8s6rr0,2026-09-25,,
Lille (Nord),283 CHF/mois,460 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Aggnjv4w41chwpoe,2026-09-25,,
Lille (Nord),217 CHF/mois,617 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Ap10ynfptzis8n3k,2026-09-25,,
Lille (Nord),189 CHF/mois,438 m²,https://www.vizzit.fr/fr/property/immobilier/lille/A7fa4p5v2268wmrt,2026-09-25,,
Lille (Nord),141 CHF/mois,133 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Ay1qv6dqe1338k7j,2026-09-25,,
Lille (Nord),156 CHF/mois,191 m²,https://www.vizzit.fr/fr/property/immobilier/lille/A51jwfzrjc6018o8,2026-09-25,,
Lille (Nord),294 CHF/mois,50 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Aywpvf2nja5lxwh5,2026-09-25,,
Lille (Nord),160 CHF/mois,1 593 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Avbm782jjxbd5ar0,2026-09-25,,
Lille (Nord),156 CHF/mois,580 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Aufsladedoj4mitt,2026-09-25,,
Lille (Nord),217 CHF/mois,2 119 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Ae4yk382ghj99j5s,2026-09-25,,
Lille (Nord),146 CHF/mois,505 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Aqui7n6phigj7qcu,2026-09-25,,
Lille (Nord),179 CHF/mois,2 479 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Ar1rxi87hgzks778,2026-09-25,,
Lille (Nord),236 CHF/mois,270 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Ae8vlpb4bolwcy7s,2026-09-25,,
Lille (Nord),113 CHF/mois,585 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Ajrjlw55kdad06ce,2026-09-25,,
Lille (Nord),217 CHF/mois,515 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Awtwla1vkezqzv2p,2026-09-25,,
Lille (Nord),264 CHF/mois,1 361 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Ayg26ns890flfqwm,2026-09-25,,
Lille (Nord),273 CHF/mois,3 069 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Aihonji276dhmy2h,2026-09-25,,
Lille (Nord),236 CHF/mois,769 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Awlvnoy8j0qrqwhk,2026-09-25,,
Lille (Nord),156 CHF/mois,292 m²,https://www.vizzit.fr/fr/property/immobilier/lille/A6pn30xxblegza43,2026-09-25,,
Lille (Nord),207 CHF/mois,1 458 m²,https://www.vizzit.fr/fr/property/immobilier/lille/A3qtnqjf3act4cdz,2026-09-25,,
Lille (Nord),146 CHF/mois,1 907 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Abtf1pht7oqy606w,2026-09-25,,
Lille (Nord),141 CHF/mois,149 m²,https://www.vizzit.fr/fr/property/immobilier/lille/A5texdy7t5ql6mwg,2026-09-25,,
Lille (Nord),124 CHF/mois,352 m²,https://www.vizzit.fr/fr/property/immobilier/lille/Ah5x6o90qtzuskam,2026-09-25,,
Lille (Nord),533 CHF/mois,30 m² - 2 pièces,https://www.vizzit.fr/fr/property/appartement/lille/A7vdwk5uio3pm7or,2026-09-25,,
Lille (Nord),727 CHF/mois,45 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ab4uwntxaz5hq4m2,2026-09-25,50.632073,3.0395344
Lille (Nord),777 CHF/mois,47 m² - 2 pièces - 1 chambre,https://www.vizzit.fr/fr/property/appartement/lille/Ag73v6h69lf5tf4g,2026-09-25,50.6303903,3.0494143
